customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
2221,4,1,0,34,0,4,296.43,1
2962,2,2,0,21,0,6,556.64,1
3444,4,1,0,15,0,10,797.74,1
2043,6,1,0,40,0,13,782.5,1
1402,3,2,0,34,0,4,416.52,1
3484,5,1,0,45,0,3,84.73,0
3732,3,1,0,30,0,12,43.01,0
3580,2,1,0,18,0,12,47.35,0
3792,1,1,0,18,0,12,38.35,0
3051,2,2,0,18,0,12,33.45,0
2522,3,1,0,10,0,14,424.55,1
1884,4,1,0,18,0,12,50.83,0
2307,5,1,0,30,0,12,43.96,0
442,3,2,0,18,0,12,16.66,0
3119,6,1,0,18,0,12,2.31,0
3080,6,1,0,34,0,4,223.8,1
3386,2,1,0,16,0,14,243.05,1
1782,2,1,0,2,0,14,171.65,1
1579,1,2,0,18,0,12,26.32,0
3237,3,1,0,24,0,14,55.62,0
1098,2,1,0,30,0,12,40.21,0
3820,3,1,0,30,0,12,30.03,0
2125,5,1,0,18,0,12,30.84,0
1765,2,1,0,18,0,12,75.18,0
330,5,2,0,24,0,14,62.42,0
1838,4,1,0,10,0,14,301.72,1
858,2,2,0,30,0,12,35.27,0
2402,2,1,0,14,0,10,321.61,1
3066,2,2,0,18,0,12,34.58,0
394,4,2,0,34,0,4,267.62,1
3572,3,1,0,40,0,13,6679.23,1
615,5,1,0,34,0,4,41.98,1
1876,4,1,0,30,0,12,33.56,0
3248,4,2,0,22,0,9,35.41,1
2093,2,1,0,18,0,12,41.47,0
1838,4,1,0,22,0,9,279.76,1
3288,3,1,0,18,0,12,11.91,0
713,2,1,0,43,0,7,74.18,0
1111,3,1,0,43,0,7,240.42,1
473,3,2,0,34,0,4,599.56,1
2884,2,1,0,34,0,4,369.61,1
700,3,2,0,34,0,4,568.72,1
2784,2,1,0,40,0,13,5736.56,1
2126,2,1,0,30,0,12,28.13,0
2402,2,1,0,34,0,4,1032.72,1
1491,3,2,0,30,0,12,55.08,0
3685,2,1,0,10,0,14,202.6,1
803,4,2,0,43,0,7,46.08,1
1079,2,2,0,30,0,12,24.04,0
3162,2,2,0,37,0,2,657.5,1
1721,1,1,0,31,0,2,49.26,0
698,2,1,0,30,0,12,15.26,0
615,5,1,0,40,0,13,426.77,1
683,5,1,0,18,0,12,11.77,0
2522,3,1,0,10,0,14,165.07,1
1497,6,1,0,18,0,12,54.06,0
3567,2,1,0,34,0,4,152.37,0
1531,3,2,0,30,0,12,6.72,0
1838,4,1,0,40,0,13,1688.02,1
3685,2,1,0,49,0,10,356.26,1
700,3,2,0,49,0,10,209.3,1
978,3,2,0,34,0,4,732.56,1
2209,3,2,0,34,0,4,696.83,1
2282,5,1,0,12,0,10,349.91,1
1020,3,1,0,30,0,12,26.85,0
60,2,1,0,18,0,12,48.26,0
1686,2,1,0,49,0,10,459.84,1
478,1,1,0,18,0,12,14.55,0
2296,2,1,0,40,0,13,4345.91,1
1724,4,1,0,15,0,10,500.84,1
2132,3,1,0,34,0,4,124.37,1
1157,2,1,0,18,0,12,61.95,0
3748,2,1,0,9,0,0,47.93,0
918,2,2,0,22,0,9,267.81,1
1632,4,1,0,32,0,8,313.24,1
1759,1,1,0,18,0,12,19.96,0
